106,Ananya Das,West Bengal,2,153500.00,31400.00
101,Aarav Sharma,Delhi,2,139800.00,30100.00
113,Manish Jain,Rajasthan,2,121500.00,25700.00
102,Priya Singh,Maharashtra,2,106700.00,23700.00
103,Rahul Verma,Karnataka,2,100000.00,21000.00
115,Arjun Kapoor,Uttar Pradesh,1,75000.00,15000.00
120,Tanya Kapoor,Maharashtra,1,75000.00,15000.00
117,Siddharth Roy,West Bengal,2,60000.00,15600.00
119,Nikhil Sethi,Haryana,1,58000.00,12000.00
109,Karan Malhotra,Delhi,2,57700.00,13550.00
114,Kavya Reddy,Telangana,2,36400.00,9600.00
118,Ishita Bose,Karnataka,2,16800.00,5600.00
104,Neha Gupta,Maharashtra,1,15600.00,5300.00
112,Simran Kaur,Chandigarh,1,14500.00,4000.00
110,Pooja Nair,Kerala,2,13100.00,5100.00
105,Rohan Mehta,Gujarat,1,12000.00,3500.00
116,Meera Joshi,Uttar Pradesh,1,11300.00,4200.00
107,Vikram Patel,Gujarat,1,8500.00,3300.00
108,Sneha Iyer,Tamil Nadu,1,8500.00,3300.00
111,Aditya Rao,Telangana,1,4500.00,1700.00
